ICAO_Code...1,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code...7,...8,ICAO_Code...9,...10,...11,...12,...13,...14
KSBX,SHELBY,48.5406944444444,-111.87125,KS,United States,KSBX,NA,HBBO,NA,NA,NA,NA,EL PARAISO-CESAR/CESAR
EDPA,AALEN-HEIDENHEIM/ELCHINGEN,48.7778333333333,10.2646666666667,ED,Germany,EDPA,NA,HCMA,NA,NA,NA,NA,EL PASO INTL
PAOU,NELSON LAGOON,56.0075361111111,-161.160366666667,PA,United States,PAOU,NA,HCMD,NA,NA,NA,NA,EL PEDRAL BONANZA
PAHN,HAINES,59.2438277777778,-135.523536111111,PA,United States,PAHN,NA,HCME,NA,NA,NA,NA,EL PIEDRERO
KHUA,REDSTONE AAF,34.6786527777778,-86.6847805555556,KH,United States,KHUA,NA,HCMF,NA,NA,NA,NA,EL PINDO/MONTELIBANO
KMFV,ACCOMACK COUNTY,37.6468777777778,-75.7610444444445,KM,United States,KMFV,NA,HCMG,NA,NA,NA,NA,EL PORTAL/CESAR
KSZL,WHITEMAN AFB,38.7303055555556,-93.5478638888889,KS,United States,KSZL,NA,HCMH,NA,NA,NA,NA,EL PORVENIR/CARRILLOS
KEOK,KEOKUK MUNI,40.4599055555556,-91.4285,KE,United States,KEOK,NA,HCMJ,NA,NA,NA,NA,EL PORVENIR/CASANARE
KAMN,GRATIOT COMMUNITY,43.3221388888889,-84.6879444444445,KA,United States,KAMN,NA,HCMK,NA,NA,NA,NA,EL PORVENIR/MAGDALENA
KMIC,CRYSTAL,45.0619777777778,-93.3538916666667,KM,United States,KMIC,NA,HCMM,NA,NA,NA,NA,EL PORVENIR/SANTANDER
LFLH,CHALON-CHAMPFORGEUIL,46.8283333333333,4.81694444444444,LF,France,LFLH,NA,HCMN,NA,NA,NA,NA,EL PRADO/META
CYDO,"DOLBEAU-ST-FELICIEN, QC",48.7785361111111,-72.3749277777778,CY,Canada,CYDO,NA,HCMR,NA,NA,NA,NA,EL PROGRESSO/META
EPKA,MASLOW K/KIELC,50.8969444444444,20.7316666666667,EP,Poland,EPKA,NA,HCMS,NA,NA,NA,NA,EL PROVENIR
UMMG,HRODNA,53.6019444444444,24.0538888888889,UM,Belarus,UMMG,NA,HCMU,NA,NA,NA,NA,EL QUESTRO
CZHP,"HIGH PRAIRIE, AB",55.39355,-116.475825,CZ,Canada,CZHP,NA,HCMV,NA,NA,NA,NA,EL RASTRO/VICHADA
